id,description,categorie_id,description_sommaire,prix_liste,prix_unitaire,quantite_min,date_mise_a_jour,fournisseur_id,code_fournisseur
2462,"VISSERIE    18-8 Stainless Steel Hex Drive Flat Head Screw M8 x 1.25 mm Thread, 25 mm Long",51,"18-8 Stainless Steel Hex Drive Flat Head Screw M8 x 1.25 mm Thread, 25 mm Long",11.64,,,2021-02-12,,92125A286
2463,"VISSERIE    18-8 Stainless Steel Hex Drive Flat Head Screw M8 x 1.25 mm Thread, 35 mm Long",51,"18-8 Stainless Steel Hex Drive Flat Head Screw M8 x 1.25 mm Thread, 35 mm Long",6.35,,,2021-02-12,,92125A292
2464,"VISSERIE    18-8 Stainless Steel Hex Drive Flat Head Screw M8 x 1.25 mm Thread, 40 mm Long",51,"18-8 Stainless Steel Hex Drive Flat Head Screw M8 x 1.25 mm Thread, 40 mm Long",6.55,,,2021-02-16,,92125A294
2465,"VISSERIE    18-8 Stainless Steel Hex Drive Flat Head Screw, M10 x 1.5 mm Thread, 25 mm Long, packs of 10",51,"18-8 Stainless Steel Hex Drive Flat Head Screw, M10 x 1.5 mm Thread, 25 mm Long, packs of 10",8,,,2020-12-28,,92125A336
2466,"VISSERIE    18-8 Stainless Steel Hex Drive Flat Head Screw, M12 x 1.75 mm Thread, 25 mm Long",51,"18-8 Stainless Steel Hex Drive Flat Head Screw, M12 x 1.75 mm Thread, 25 mm Long",5.59,,,2021-05-05,,92125A413
2467,"VISSERIE    18-8 Stainless Steel Hex Drive Flat Head Screw, M8 x 1.25 mm Thread, 100 mm Long, packs of 1",51,"18-8 Stainless Steel Hex Drive Flat Head Screw, M8 x 1.25 mm Thread, 100 mm Long, packs of 1",2.99,,,2020-12-28,,92125A312
2468,"VISSERIE    18-8 Stainless Steel Hex Drive Flat Head Screw, M8 x 1.25 mm Thread, 65 mm Long, packs of 5",51,"18-8 Stainless Steel Hex Drive Flat Head Screw, M8 x 1.25 mm Thread, 65 mm Long, packs of 5",5.86,,,2020-12-28,,92125A303
2469,"VISSERIE    18-8 Stainless Steel Precision Shoulder Screw 10 mm Shoulder Diameter, 20 mm Shoulder Length, M8 x 1.25 mm Thread",51,"18-8 Stainless Steel Precision Shoulder Screw 10 mm Shoulder Diameter, 20 mm Shoulder Length, M8 x 1.25 mm Thread",9.86,,,2020-11-02,,90278A422
2470,"VISSERIE    18-8 Stainless Steel Precision Shoulder Screw, 8 mm Shoulder Diameter, 7 mm Shoulder Length, M6 x 1.0 mm Thread",51,"18-8 Stainless Steel Precision Shoulder Screw, 8 mm Shoulder Diameter, 7 mm Shoulder Length, M6 x 1.0 mm Thread",8.95,,,2021-04-15,,90278A214
2471,"VISSERIE    18-8 Stainless Steel Shoulder Screw
10 mm Shoulder Diameter, 8 mm Shoulder Length, M8 x 1.25 mm Thread",51,"18-8 Stainless Steel Shoulder Screw
10 mm Shoulder Diameter, 8 mm Shoulder Length, M8 x 1.25 mm Thread",5.92,,,2021-02-17,,90265a158
2472,"VISSERIE    18-8 Stainless Steel Slotted Spring Pin 4mm Diameter, 22mm Long",51,"18-8 Stainless Steel Slotted Spring Pin 4mm Diameter, 22mm Long",1.81,,,2021-01-04,,91610A518
2473,"VISSERIE    18-8 Stainless Steel Slotted Spring Pin 5/32"" Diameter, 7/8"" Long",51,"18-8 Stainless Steel Slotted Spring Pin 5/32"" Diameter, 7/8"" Long",9.74,,,2021-04-20,,92373A216
2474,"VISSERIE    18-8 Stainless Steel Socket Head Screw M10 x 1.5 mm Thread, 30 mm Long",51,"18-8 Stainless Steel Socket Head Screw M10 x 1.5 mm Thread, 30 mm Long",7.63,,,2021-02-12,,91292A159
2475,"VISSERIE    18-8 Stainless Steel Socket Head Screw M10 x 1.5 mm Thread, 60 mm Long",51,"18-8 Stainless Steel Socket Head Screw M10 x 1.5 mm Thread, 60 mm Long",7.54,,,2021-02-12,,91292A219
2476,"VISSERIE    18-8 Stainless Steel Socket Head Screw M3 x 0.5 mm Thread, 18 mm Long",51,"18-8 Stainless Steel Socket Head Screw M3 x 0.5 mm Thread, 18 mm Long",6.32,,,2021-01-04,,91292A029
2477,"VISSERIE    18-8 Stainless Steel Socket Head Screw M3 x 0.5 mm Thread, 40 mm Long",51,"18-8 Stainless Steel Socket Head Screw M3 x 0.5 mm Thread, 40 mm Long",3.28,,,2021-01-04,,91292A024
2478,"VISSERIE    18-8 Stainless Steel Socket Head Screw M4 x 0.7 mm Thread, 60 mm Long",51,"18-8 Stainless Steel Socket Head Screw M4 x 0.7 mm Thread, 60 mm Long",6.89,,,2021-02-03,,91292A048
2479,"VISSERIE    18-8 Stainless Steel Socket Head Screw M6 x 1 mm Thread, 16 mm Long",51,"18-8 Stainless Steel Socket Head Screw M6 x 1 mm Thread, 16 mm Long",8.34,,,2021-04-26,,91292A135
2480,"VISSERIE    18-8 Stainless Steel Socket Head Screw M6 x 1 mm Thread, 40 mm Long",51,"18-8 Stainless Steel Socket Head Screw M6 x 1 mm Thread, 40 mm Long",7.63,,,2021-04-26,,91292A142
2481,"VISSERIE    18-8 Stainless Steel Socket Head Screw M6 x 1.00 mm Thread, 85 mm Long",51,"18-8 Stainless Steel Socket Head Screw M6 x 1.00 mm Thread, 85 mm Long",7.31,,,2021-01-04,,91292A323
2482,"VISSERIE    18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 20 mm Long",51,"18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 20 mm Long",8.86,,,2021-02-12,,91292A147
2483,"VISSERIE    18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 50 mm Long",51,"18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 50 mm Long",6.92,,,2021-05-12,,91292A154
2484,"VISSERIE    18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 55 mm Long",51,"18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 55 mm Long",8.49,,,2021-02-12,,91292A156
2485,"VISSERIE    18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 60 mm Long",51,"18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 60 mm Long",7.48,,,2021-02-12,,91292A209
2486,"VISSERIE    18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 65 mm Long",51,"18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 65 mm Long",9.19,,,2021-02-12,,91292A210
2487,"VISSERIE    18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 80 mm Long",51,"18-8 Stainless Steel Socket Head Screw M8 x 1.25 mm Thread, 80 mm Long",9.35,,,2021-02-12,,91292A212
2488,"VISSERIE    18-8 Stainless Steel Socket Head Screw, M5 x 0.8 mm Thread, 70 mm Long, Packs of 10",51,"18-8 Stainless Steel Socket Head Screw, M5 x 0.8 mm Thread, 70 mm Long, Packs of 10",4.64,,,2021-01-22,,91292A198
2489,"VISSERIE    18-8 Stainless Steel Square-Neck Carriage Bolt, M8 x 1.25 mm Thread Size, 40 mm Long, Packs of 10",51,"18-8 Stainless Steel Square-Neck Carriage Bolt, M8 x 1.25 mm Thread Size, 40 mm Long, Packs of 10",5.84,,,2021-01-22,,97248A323
2490,"VISSERIE    18-8 Stainless Steel Unthreaded Spacer 19 mm OD, 25 mm Long, for M12 Screw Size",51,"18-8 Stainless Steel Unthreaded Spacer 19 mm OD, 25 mm Long, for M12 Screw Size",5.96,,,2021-02-16,,92871A374
2491,VISSERIE    18-8 Stainless Steel Wing Nut M8 x 1.25 mm Thread,51,18-8 Stainless Steel Wing Nut M8 x 1.25 mm Thread,9.89,,,2020-11-02,,94545A235
2492,"VISSERIE    302 Stainless Steel Corrosion-Resistant Compression Springs
1.375"" Long, 0.313"" OD, 0.251"" ID",51,"302 Stainless Steel Corrosion-Resistant Compression Springs
1.375"" Long, 0.313"" OD, 0.251"" ID",3.32,,,2020-08-11,,1986K83
2493,"VISSERIE    316 Stainless Steel Button Head Hex Drive Screws M5 x 0.8mm Thread, 10mm Long",51,"316 Stainless Steel Button Head Hex Drive Screws M5 x 0.8mm Thread, 10mm Long",10.17,,,2021-01-04,,94500A297
2494,"VISSERIE    316 Stainless Steel Button Head Hex Drive Screws M6 x 1 mm Thread, 10mm Long",51,"316 Stainless Steel Button Head Hex Drive Screws M6 x 1 mm Thread, 10mm Long",8.25,,,2021-02-16,,94500A314
2495,"VISSERIE    316 Stainless Steel Button Head Hex Drive Screws M6 x 1 mm Thread, 16mm Long",51,"316 Stainless Steel Button Head Hex Drive Screws M6 x 1 mm Thread, 16mm Long",11.23,,,2021-02-16,,94500a237
2496,"VISSERIE    316 Stainless Steel Button Head Hex Drive Screws M6 x 1 mm Thread, 20mm Long",51,"316 Stainless Steel Button Head Hex Drive Screws M6 x 1 mm Thread, 20mm Long",6.73,,,2021-02-16,,94500A238
2497,"VISSERIE    360 Brass Acme Square Nut Right Hand, 1-1/4""-5 Thread Size",51,"360 Brass Acme Square Nut Right Hand, 1-1/4""-5 Thread Size",41.84,,,2021-03-17,,95270A163
2498,VISSERIE    ADAPTEUR LOCK MAL,51,ADAPTEUR LOCK MAL,7.99,,,2016-01-19,,QCM20
2499,VISSERIE    ADAPTEUR LOCK MAL,51,ADAPTEUR LOCK MAL,7.99,,,2016-01-19,,QCM20
2500,"VISSERIE    Adj. Hdl, Plast., Button Head, LG 3.16"", Zk Pltd Stud 3/8-16 x 1""",51,"Adj. Hdl, Plast., Button Head, LG 3.16"", Zk Pltd Stud 3/8-16 x 1""",12.7,,,2018-06-01,,LAF-3072-016
2501,"VISSERIE    Adj. Hdl, Plast., Button Head, LG 3.16"", Zk Pltd Stud 3/8-16 x 1""",51,"Adj. Hdl, Plast., Button Head, LG 3.16"", Zk Pltd Stud 3/8-16 x 1""",12.84,,,2019-06-28,,LAF-3072-016
2502,"VISSERIE    Adj. Hdl, Plast., Button Head, LG 3.16"", Zk Pltd Stud 3/8-16 x 2""",51,"Adj. Hdl, Plast., Button Head, LG 3.16"", Zk Pltd Stud 3/8-16 x 2""",13.8664,,,2019-06-28,,LAF-3072-019
2503,"VISSERIE    Adj. Hdl, Plast., Button Head, LG 3.16"", Zk Pltd Stud 3/8-16 x 3/4""",51,"Adj. Hdl, Plast., Button Head, LG 3.16"", Zk Pltd Stud 3/8-16 x 3/4""",12.5367,,,2019-06-21,,LAF-3072-015
2504,"VISSERIE    Adj. Hdl, Plast., Button Head, Steel Stud, METRIC, LG 42mm, M6 x 20",51,"Adj. Hdl, Plast., Button Head, Steel Stud, METRIC, LG 42mm, M6 x 20",8.3437,,,2019-02-19,,LAF-3092-001
2505,"VISSERIE    Adj. Hdl, Plast., Button Head, Steel Stud, METRIC, LG 80mm, M10 x 50",51,"Adj. Hdl, Plast., Button Head, Steel Stud, METRIC, LG 80mm, M10 x 50",13.49,,,2018-07-05,,LAF-3092-010
2506,"VISSERIE    Adj. Hdl, Plast., Button Head, Steel Stud, METRIC, LG 80mm, M10 x 50",51,"Adj. Hdl, Plast., Button Head, Steel Stud, METRIC, LG 80mm, M10 x 50",13.49,,,2019-06-07,,LAF-3092-010
2507,"VISSERIE    Adj. Hdl, Plast., Heavy Duty, LG 1.65"", Steel Stud 1/4-20 x 1-1/8""",51,"Adj. Hdl, Plast., Heavy Duty, LG 1.65"", Steel Stud 1/4-20 x 1-1/8""",10.1665,,,2016-07-12,,LAF-3114-002
2508,"VISSERIE    Adj. Hdl, Plast., LG 3.15"", S.S. Stud 3/8-16 x 1-1/2""",51,"Adj. Hdl, Plast., LG 3.15"", S.S. Stud 3/8-16 x 1-1/2""",25.1858,,,2019-03-04,,LAF-3065-008
2509,"VISSERIE    Adj. Hdl, Plast., Modern Design, METRIC, LG 65 mm, Carbon Steel Stud M8 x 45 mm",51,"Adj. Hdl, Plast., Modern Design, METRIC, LG 65 mm, Carbon Steel Stud M8 x 45 mm",11.9522,,,2018-08-07,,LAF-3123-017
2510,"VISSERIE    Adj. Hdl, Plast., Modern Design, METRIC, LG 65 mm, Carbon Steel Stud M8 x35 mm",51,"Adj. Hdl, Plast., Modern Design, METRIC, LG 65 mm, Carbon Steel Stud M8 x35 mm",11.9522,,,2018-08-07,,LAF-3123-015
2511,"VISSERIE    Alloy Steel Cup-Point Set Screw M10 x 1.5 mm Thread, 10 mm Long",51,"Alloy Steel Cup-Point Set Screw M10 x 1.5 mm Thread, 10 mm Long",9.1,,,2020-09-03,,91390A155
2512,"VISSERIE    Alloy Steel Cup-Point Set Screw M10 x 1.5 mm Thread, 8 mm Long",51,"Alloy Steel Cup-Point Set Screw M10 x 1.5 mm Thread, 8 mm Long",7.21,,,2020-09-03,,91390A555
2513,"VISSERIE    Alloy Steel Cup-Point Set Screw M3 x 0.5 mm Thread, 3 mm Long",51,"Alloy Steel Cup-Point Set Screw M3 x 0.5 mm Thread, 3 mm Long",4.63,,,2020-09-03,,91390A097
2514,"VISSERIE    Alloy Steel Cup-Point Set Screw M3 x 0.5 mm Thread, 6 mm Long",51,"Alloy Steel Cup-Point Set Screw M3 x 0.5 mm Thread, 6 mm Long",5.4,,,2020-09-03,,91390A100
2515,"VISSERIE    Alloy Steel Cup-Point Set Screw M4 x 0.7 mm Thread, 10 mm Long",51,"Alloy Steel Cup-Point Set Screw M4 x 0.7 mm Thread, 10 mm Long",5.53,,,2020-09-03,,91390A114
2516,"VISSERIE    Alloy Steel Cup-Point Set Screw M4 x 0.7 mm Thread, 4 mm Long",51,"Alloy Steel Cup-Point Set Screw M4 x 0.7 mm Thread, 4 mm Long",4.42,,,2020-09-03,,91390A110
2517,"VISSERIE    Alloy Steel Cup-Point Set Screw M5 x 0.8 mm Thread, 10 mm Long",51,"Alloy Steel Cup-Point Set Screw M5 x 0.8 mm Thread, 10 mm Long",5.95,,,2020-09-03,,91390A121
2518,"VISSERIE    Alloy Steel Cup-Point Set Screw M5 x 0.8 mm Thread, 5 mm Long",51,"Alloy Steel Cup-Point Set Screw M5 x 0.8 mm Thread, 5 mm Long",4.75,,,2020-09-03,,91390A117
2519,"VISSERIE    Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 10 mm Long",51,"Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 10 mm Long",8.16,,,2020-09-03,,91390A128
2520,"VISSERIE    Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 6 mm Long",51,"Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 6 mm Long",5.87,,,2020-09-03,,91390A126
2521,"VISSERIE    Alloy Steel Cup-Point Set Screw M8 x 1.25 mm Thread, 10 mm Long",51,"Alloy Steel Cup-Point Set Screw M8 x 1.25 mm Thread, 10 mm Long",12.95,,,2020-09-03,,91390A141
2522,"VISSERIE    Alloy Steel Cup-Point Set Screw M8 x 1.25 mm Thread, 6 mm Long",51,"Alloy Steel Cup-Point Set Screw M8 x 1.25 mm Thread, 6 mm Long",5.92,,,2020-09-03,,91390A553
2523,"VISSERIE    Alloy Steel Cup-Point Set Screw, M6 x 1 mm Thread, 25 mm Long, Packs of 50",51,"Alloy Steel Cup-Point Set Screw, M6 x 1 mm Thread, 25 mm Long, Packs of 50",10.49,,,2021-02-16,,91390A135
2524,"VISSERIE    Alloy Steel Shoulder Screw 5/16"" Shoulder Diameter, 1/2"" Shoulder Length, 1/4""-20 Thread",51,"Alloy Steel Shoulder Screw 5/16"" Shoulder Diameter, 1/2"" Shoulder Length, 1/4""-20 Thread",1.18,,,2021-01-08,,91259A578
2525,"VISSERIE    Alloy Steel Shoulder Screw
5/8"" Shoulder Diameter, 1"" Shoulder Length, 1/2""-13 Thread",51,"Alloy Steel Shoulder Screw
5/8"" Shoulder Diameter, 1"" Shoulder Length, 1/2""-13 Thread",3.98,,,2020-07-15,,91259A794
2526,"VISSERIE    Alloy Steel Shoulder Screw
5/8"" Shoulder Diameter, 1-1/8"" Shoulder Length, 1/2""-13 Thread",51,"Alloy Steel Shoulder Screw
5/8"" Shoulder Diameter, 1-1/8"" Shoulder Length, 1/2""-13 Thread",4.05,,,2020-07-15,,91259A440
2527,"VISSERIE    Alloy Steel Shoulder Screw
5/8"" Shoulder Diameter, 7/8"" Shoulder Length, 1/2""-13 Thread",51,"Alloy Steel Shoulder Screw
5/8"" Shoulder Diameter, 7/8"" Shoulder Length, 1/2""-13 Thread",4.2,,,2021-02-16,,91259A439
2528,"VISSERIE    Alloy Steel Shoulder Screw, 5/16"" Shoulder Diameter, 1-1/4"" Shoulder Length, 1/4""-20 Thread",51,"Alloy Steel Shoulder Screw, 5/16"" Shoulder Diameter, 1-1/4"" Shoulder Length, 1/4""-20 Thread",1.49,,,2021-04-15,,91259A585
2529,"VISSERIE    Alloy Steel Shoulder Screws 10 mm Shoulder Diameter, 10 mm Shoulder Length, M8 x 1.25 mm Thread",51,"Alloy Steel Shoulder Screws 10 mm Shoulder Diameter, 10 mm Shoulder Length, M8 x 1.25 mm Thread",1.86,,,2021-04-07,,92981A299
2530,"VISSERIE    Alloy Steel Shoulder Screws 10 mm Shoulder Diameter, 20 mm Shoulder Length, M8 x 1.25 mm Thread",51,"Alloy Steel Shoulder Screws 10 mm Shoulder Diameter, 20 mm Shoulder Length, M8 x 1.25 mm Thread",2.32,,,2020-11-02,,92981A303
2531,"VISSERIE    Alloy Steel Shoulder Screws 10 mm Shoulder Diameter, 6 mm Shoulder Length, M8 x 1.25 mm Thread",51,"Alloy Steel Shoulder Screws 10 mm Shoulder Diameter, 6 mm Shoulder Length, M8 x 1.25 mm Thread",5.72,,,2021-02-01,,92981A815
2532,"VISSERIE    Alloy Steel Shoulder Screws 12 mm Shoulder Diameter, 25 mm Shoulder Length, M10 x 1.5 mm Thread",51,"Alloy Steel Shoulder Screws 12 mm Shoulder Diameter, 25 mm Shoulder Length, M10 x 1.5 mm Thread",3.81,,,2021-02-16,,92981A404
2533,"VISSERIE    Alloy Steel Shoulder Screws 12 mm Shoulder Diameter, 30 mm Shoulder Length, M10 x 1.5 mm Thread",51,"Alloy Steel Shoulder Screws 12 mm Shoulder Diameter, 30 mm Shoulder Length, M10 x 1.5 mm Thread",3.91,,,2021-02-12,,92981A405
2534,"VISSERIE    Alloy Steel Shoulder Screws 16 mm Shoulder Diameter, 16 mm Shoulder Length, M12 x 1.75 mm Thread",51,"Alloy Steel Shoulder Screws 16 mm Shoulder Diameter, 16 mm Shoulder Length, M12 x 1.75 mm Thread",4.79,,,2020-11-02,,92981A766
2535,"VISSERIE    Alloy Steel Shoulder Screws
12 mm Shoulder Diameter, 14 mm Shoulder Length, M10 x 1.5 mm Thread",51,"Alloy Steel Shoulder Screws
12 mm Shoulder Diameter, 14 mm Shoulder Length, M10 x 1.5 mm Thread",11.76,,,2020-07-15,,92981A154
2536,"VISSERIE    Alloy Steel Shoulder Screws
16 mm Shoulder Diameter, 50 mm Shoulder Length, M12 x 1.75 mm Thread",51,"Alloy Steel Shoulder Screws
16 mm Shoulder Diameter, 50 mm Shoulder Length, M12 x 1.75 mm Thread",5.55,,,2021-02-16,,92981A507
2537,"VISSERIE    Aluminum Unthreaded Spacer, 13 mm OD, 10 mm Long, for M5 Screw Size",51,"Aluminum Unthreaded Spacer, 13 mm OD, 10 mm Long, for M5 Screw Size",0.81,,,2021-02-03,,94669A174
2538,"VISSERIE    Ball Joint Linkage with Neoprene Seal, Right-Hand M8 x 1.25mm Internal Threaded Shank",51,"Ball Joint Linkage with Neoprene Seal, Right-Hand M8 x 1.25mm Internal Threaded Shank",5.99,,,2021-02-01,,6058K821
2539,"VISSERIE    Ball Joint Linkage
304 Stainless Steel, Right Hand M8 x 1.25 mm Thread Shank",51,"Ball Joint Linkage
304 Stainless Steel, Right Hand M8 x 1.25 mm Thread Shank",9.52,,,2020-07-15,,5068k861
2540,"VISSERIE    Ball Plunger, Steel Body, S.S. Ball, Slot Drive, w/Long-Lok, 5/16-18, Force 3.37 - 6.74 lbs.",51,"Ball Plunger, Steel Body, S.S. Ball, Slot Drive, w/Long-Lok, 5/16-18, Force 3.37 - 6.74 lbs.",7.4554,,,2019-02-27,,LAF-1244-206
2541,VISSERIE    BHCS VIS RONDE 1/4 20 X 1,51,BHCS VIS RONDE 1/4 20 X 1,0.06,,,,,BHCS141NC
2542,VISSERIE    BHCS VIS RONDE 1/4 20 X 1/2,51,BHCS VIS RONDE 1/4 20 X 1/2,0.11,,,2019-10-09,,BHCS1412NC
2543,VISSERIE    BHCS VIS RONDE 1/4 20 X 2-1/2,51,BHCS VIS RONDE 1/4 20 X 2-1/2,1.5,,,2019-09-13,,BHCS14212NC
2544,VISSERIE    BHCS VIS RONDE 1/4-20 X 1/2 STAINLESS,51,BHCS VIS RONDE 1/4-20 X 1/2 STAINLESS,0.0896,,,2018-09-24,,BHCS1412NS / SS
2545,VISSERIE    BHCS VIS RONDE 1/4-20 X 3/4,51,BHCS VIS RONDE 1/4-20 X 3/4,0.12,,,2019-10-09,,BHCS1434NC
2546,VISSERIE    BHCS VIS RONDE 3/8-NC X 1 1/4,51,BHCS VIS RONDE 3/8-NC X 1 1/4,0.52,,,2018-06-05,,BHCS38114NC
2547,VISSERIE    BHCS VIS RONDE 5/16-NC X 1/2,51,BHCS VIS RONDE 5/16-NC X 1/2,0.1712,,,2021-01-12,,BHCS51612NC
2548,VISSERIE    BHCS VIS RONDE M6 X 10,51,BHCS VIS RONDE M6 X 10,0.0476,,,2018-09-27,,BHCSM6X10
2549,VISSERIE    BHCS VIS RONDE M6 X 10 STAINLESS,51,BHCS VIS RONDE M6 X 10 STAINLESS,0.116,,,2018-09-26,,BHCSM6X10 / SS
2550,VISSERIE    BHCS VIS RONDE M6 X 20,51,BHCS VIS RONDE M6 X 20,0.0738,,,2020-06-02,,BHCSM6X20
2551,VISSERIE    BHCS VIS RONDE M6 X 25,51,BHCS VIS RONDE M6 X 25,0.0635,,,2020-08-24,,BHCSM6X25
2552,VISSERIE    BHCS VIS RONDE M8X50,51,BHCS VIS RONDE M8X50,0.5722,,,2019-07-04,,BHCSM8X50
2553,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw M4 x 0.7 mm Thread, 12 mm Long",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw M4 x 0.7 mm Thread, 12 mm Long",5.29,,,2021-01-08,,91294A192
2554,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw M6 x 1 mm Thread, 20 mm Long",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw M6 x 1 mm Thread, 20 mm Long",5.92,,,2020-09-03,,91294A240
2555,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, 12-24 Thread Size, 3/8"" Long, Packs of 10",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, 12-24 Thread Size, 3/8"" Long, Packs of 10",8.59,,,2021-04-15,,91253A281
2556,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 10 mm Long, Packs of 100",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 10 mm Long, Packs of 100",8.57,,,2021-01-22,,91294A208
2557,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 16 mm Long, Packs of 100",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 16 mm Long, Packs of 100",8.75,,,2021-01-22,,91294A212
2558,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 20 mm Long, Packs of 100",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 20 mm Long, Packs of 100",9.88,,,2021-01-22,,91294A214
2559,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 25 mm Long, Packs of 100",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 25 mm Long, Packs of 100",10.33,,,2021-01-22,,91294A216
2560,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 30 mm Long, Packs of 50",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 30 mm Long, Packs of 50",6.64,,,2021-01-22,,91294A217
2561,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M6 x 1 mm Thread, 16 mm Long, Packs of 100",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M6 x 1 mm Thread, 16 mm Long, Packs of 100",12.73,,,2021-01-22,,91294A238
2562,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M6 x 1 mm Thread, 20 mm Long, Packs of 50",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M6 x 1 mm Thread, 20 mm Long, Packs of 50",5.92,,,2021-01-22,,91294A240
2563,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M6 x 1 mm Thread, 25 mm Long, Packs of 50",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M6 x 1 mm Thread, 25 mm Long, Packs of 50",5.65,,,2021-01-22,,91294A242
2564,"VISSERIE    Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M6 x 1 mm Thread, 30 mm Long, Packs of 50",51,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw, M6 x 1 mm Thread, 30 mm Long, Packs of 50",7.34,,,2021-01-22,,91294A244
2565,"VISSERIE    Black-Oxide Alloy Steel Socket Head Screw 1/2""-13 Thread Size, 1-1/2"" Long",51,"Black-Oxide Alloy Steel Socket Head Screw 1/2""-13 Thread Size, 1-1/2"" Long",12.01,,,2021-05-05,,91251A716
2566,"VISSERIE    Black-Oxide Alloy Steel Socket Head Screw 1/2""-13 Thread Size, 2"" Long",51,"Black-Oxide Alloy Steel Socket Head Screw 1/2""-13 Thread Size, 2"" Long",13.55,,,2021-01-08,,91251A720
2567,"VISSERIE    Black-Oxide Alloy Steel Socket Head Screw M12 x 1.75 mm Thread, 25 mm Long",51,"Black-Oxide Alloy Steel Socket Head Screw M12 x 1.75 mm Thread, 25 mm Long",9.83,,,2020-11-09,,91290A616
2568,"VISSERIE    Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 10 mm Long, Packs of 100",51,"Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 10 mm Long, Packs of 100",10.69,,,2020-08-26,,91290A224
2569,"VISSERIE    Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 15 mm Long, Packs of 50",51,"Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 15 mm Long, Packs of 50",10.34,,,2020-08-26,,91290A231
2570,"VISSERIE    Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 20 mm Long, Packs of 100",51,"Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 20 mm Long, Packs of 100",13.13,,,2020-08-26,,91290A242
2571,"VISSERIE    Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 25 mm Long, Packs of 50",51,"Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 25 mm Long, Packs of 50",8.23,,,2020-08-26,,91290A252
2572,"VISSERIE    Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 30 mm Long, Partially Threaded, Packs of 50",51,"Black-Oxide Alloy Steel Socket Head Screw, M5 x 0.8 mm Thread, 30 mm Long, Partially Threaded, Packs of 50",8.95,,,2020-08-26,,91290A254
