id,description,categorie_id,description_sommaire,prix_liste,prix_unitaire,quantite_min,date_mise_a_jour,fournisseur_id,code_fournisseur
457,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B24    F2,5    PH 1,5 DH 2 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,740,,,02-14-2017,,"8-2,5-24-2,5-1,5-2-10"
458,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A8    B26    F2,5    PH 1,5 DH 1,5 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,760,,,2019-01-25,,"8-2,5-26-1,5-2-1,5-10"
459,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A9    B14    F2,5    PH 1,5 DH 1,5 LG 10",20,BUSHING 4-7/8'' GXLAC-150-S,670,,,2016-09-21,,"9-2,5-14-1,5-1,5-1,5-10"
460,"DIE SET ECONOLINE    BUSHING 4-7/8'' GXLAC-150-S    A9    B19    F2,6    PH 1,5 DH 1,5 LG 8",20,BUSHING 4-7/8'' GXLAC-150-S,720,,,2018-01-03,,"8-2,5-18-1,5-1,5-1,5-8"
461,"DIE SET ECONOLINE    BUSHING GAC,150S    A6    B8    F2,5    PH 1,5 DH 1,5 LG 7",20,"BUSHING GAC,150S",465,,,2020-09-17,,"A6 / B8 / F2,5 / PH 1,5 / DH 1,5 / LG 7"
462,"DIE SET ECONOLINE    BUSHING GAC,175S    A10    B28    F3    PH 1,5 DH 1,5 LG 9",20,"BUSHING GAC,175S",925,,,2019-04-24,,10-3-28-1.5-1.5-9
463,"DIE SET ECONOLINE    BUSHING GLAC,150S    A6    B12    F2,5    PH 1,5 DH 1,5 LG 8",20,"BUSHING GLAC,150S",560,,,2019-03-07,,"6-2,5-12-1,5-1,5-1,5-8"
464,"DIE SET ECONOLINE    BUSHING GLAC,150S    A8    B16    F2,5    PH 1,5 DH 1,5 LG 8",20,"BUSHING GLAC,150S",615,,,2018-10-30,,"8-2,5-16-1,5-1,5-1,5-8"
465,"DIE SET ECONOLINE    BUSHING GLAC,150S    A8    B18    F2,5    PH 1,5 DH 1,5 LG 9",20,"BUSHING GLAC,150S",695,,,2019-12-05,,"8-2,5-18-1,5-1,5-1,5-9"
466,"DIE SET ECONOLINE    BUSHING GLAC,150S    A8    B22    F2,5    PH 1,5 DH 1,5 LG 10",20,"BUSHING GLAC,150S",695,,,2018-02-12,,"8-2,5-22-1,5-1,5-1,5-10"
467,"DIE SET ECONOLINE    BUSHING GLAC,150S    A8    B22    F2,5    PH 1,5 DH 1,5 LG 9",20,"BUSHING GLAC,150S",680,,,2018-09-13,,"8-2,5-22-1,5-1,5-1,5-9"
468,"DIE SET ECONOLINE    BUSHING GLAC,150S    A8    B24    F2,5    PH 1,5 DH 1,5 LG 9",20,"BUSHING GLAC,150S",700,,,2018-09-13,,"8-2,5-24-1,5-1,5-1,5-9"
469,DIE SET ECONOLINE    CLAMPS FOR BUSHING,20,CLAMPS FOR BUSHING,0.85,,,2017-12-22,,CLAMPS
470,"DIE SET ECONOLINE    PIN 1''    A4    B6    C3-1/2    PH 1,25 DH 1,25 LG 8",20,PIN 1'',400,,,2021-03-16,,"4-6-3,5-1,25-1,25-8"
471,ELECTRONIQUE    DIGITAL STEPPING DRIVE,21,DIGITAL STEPPING DRIVE,150,,,,,BUDGETAIRE
472,"ELECTRONIQUE    Elo 1502L - M-Series - LED monitor - 15.6""",21,"Elo 1502L - M-Series - LED monitor - 15.6""",619.99,,,2021-02-24,,4475004
473,"ELECTRONIQUE    Linear Inline Feeders 7-115 is a 5"" solid mount inline track drive with a 120VAC coil",21,"Linear Inline Feeders 7-115 is a 5"" solid mount inline track drive with a 120VAC coil",290,,,2020-11-12,,007-000-0115
474,ELECTRONIQUE    Linear Inline Feeders 7-120 is a 2 hanger standard track drive with a 120V coil,21,Linear Inline Feeders 7-120 is a 2 hanger standard track drive with a 120V coil,490,,,2020-11-12,,007-000-0120
475,ELECTRONIQUE    PHOTO SENSOR D/R M6 PNP L-ON 50MM SD 2MCBL OMRON,21,PHOTO SENSOR D/R M6 PNP L-ON 50MM SD 2MCBL OMRON,92.273,,,2020-10-30,,E3TCD13
476,ELECTRONIQUE    POWER SUPPLY DC 24 15 A,21,POWER SUPPLY DC 24 15 A,100,,,,,BUDGETAIRE
477,ELECTRONIQUE    PULSE GENERATOR,21,PULSE GENERATOR,50,,,,,BUDGETAIRE
478,ELECTRONIQUE    STEPPER MOTOR NEMA 23 HIGH TORQUE 3Nm,21,STEPPER MOTOR NEMA 23 HIGH TORQUE 3Nm,250,,,,,BUDGETAIRE
479,EPI    3M™ Premium Silicone Spray Paint Respirator avec cartouche,22,3M™ Premium Silicone Spray Paint Respirator avec cartouche,67.73,,,2020-02-25,,R7512C/37078
480,EPI    CHAPEAU DE PAPE,22,CHAPEAU DE PAPE,1.25,,,2020-06-03,,SEE845
481,EPI    ELINGUE DE 6 PIEDS AVEC BOUCLE DE 3'',22,ELINGUE DE 6 PIEDS AVEC BOUCLE DE 3'',68.25,,,2020-09-16,,V8104126
482,EPI    LUNETTE DE SECURITÉ TRANSPARENTE 3M,22,LUNETTE DE SECURITÉ TRANSPARENTE 3M,2.65,,,2021-06-16,,1411385
483,EPI    PAK DE GANT MECANO L,22,PAK DE GANT MECANO L,12,,,2021-05-19,,NPB-L
484,EPI    PAK DE GANT MECANO XL,22,PAK DE GANT MECANO XL,10.4,,,03-31-2017,,751185
485,EXTRUSION    Aluminum Extrusion,23,Aluminum Extrusion,77.1,,,,,HFS6-3090-2440
486,EXTRUSION    Aluminum Extrusion 2020 X 1000,23,Aluminum Extrusion 2020 X 1000,6.6,,,2020-12-16,,HFS5-2020-1000
487,EXTRUSION    Aluminum Extrusion HFS6-30120-1600,23,Aluminum Extrusion HFS6-30120-1600,73.44,,,2021-02-16,,HFS6-3060-1600
488,EXTRUSION    Aluminum Extrusion KHFS6-30120-4000,23,Aluminum Extrusion KHFS6-30120-4000,190.95,,,2021-12-06,,KHFS6-30120-4000
489,"EXTRUSION    Blue-Dyed Zinc-Plated Alloy Steel Socket Head Screw, M6 x 1 mm Thread, 70 mm Long, packs of 25",23,"Blue-Dyed Zinc-Plated Alloy Steel Socket Head Screw, M6 x 1 mm Thread, 70 mm Long, packs of 25",11.84,,,,,91502A178
490,"EXTRUSION    Cable Tie Mount for 0.20"" x 0.08"" Tie, Adhesive/Screw-In, Off-White, packs of 25",23,"Cable Tie Mount for 0.20"" x 0.08"" Tie, Adhesive/Screw-In, Off-White, packs of 25",4.36,,,,,7566K73
491,"EXTRUSION    Fitting for Flexible Plastic Conduit 90 Degree Elbow, 1-1/4 Trade Size Female x 1-1/4 NPT Male",23,"Fitting for Flexible Plastic Conduit 90 Degree Elbow, 1-1/4 Trade Size Female x 1-1/4 NPT Male",34.56,,,2021-03-08,,6963T23
492,"EXTRUSION    Fitting for Flexible Plastic Conduit Adapter, 1-1/4 Trade Size Female x 1-1/4 NPT Male",23,"Fitting for Flexible Plastic Conduit Adapter, 1-1/4 Trade Size Female x 1-1/4 NPT Male",21.39,,,2021-02-02,,6963T15
493,"EXTRUSION    Fitting for Flexible Plastic Conduit Grommet, 1-1/4 Trade Size",23,"Fitting for Flexible Plastic Conduit Grommet, 1-1/4 Trade Size",16.61,,,2021-03-08,,6963T214
494,"EXTRUSION    Flat Aluminum Extrusions - No Shoulder, Slot Width 10mm, 1 Slot",23,"Flat Aluminum Extrusions - No Shoulder, Slot Width 10mm, 1 Slot",20.01,,,2020-10-23,,HFSPURE8-1830-914
495,"EXTRUSION    Flexible Plastic Conduit Crush-Resistant, 1-1/4 Trade Size, 10 ft. Length",23,"Flexible Plastic Conduit Crush-Resistant, 1-1/4 Trade Size, 10 ft. Length",64.5,,,2020-10-05,,6959T22
496,"EXTRUSION    Flexible Plastic Conduit Crush-Resistant, 1-1/4 Trade Size, 25 FT LENGHT",23,"Flexible Plastic Conduit Crush-Resistant, 1-1/4 Trade Size, 25 FT LENGHT",161.25,,,2021-03-08,,6959T225
497,"EXTRUSION    High-Strength Class 10 Steel Flange Nut, High Profile, Black Oxide, M24 x 3 mm Thread, packs of 1",23,"High-Strength Class 10 Steel Flange Nut, High Profile, Black Oxide, M24 x 3 mm Thread, packs of 1",8.57,,,,,90360A121
498,EXTRUSION    NIQ ALMINUM FLAME,23,NIQ ALMINUM FLAME,65.37,,,2020-06-18,,AFSU-3060L-6-2500
