id,produit_id,dimension1,dimension2,dimension3,longueur,unite
428,428,,2'' STROKE,1 STAGE,,po
429,429,5 PO,2'' STROKE,1 STAGE,,po
430,430,,,,,mm
431,431,A8,B24,"F2,5",DH 2,po
432,432,,,,,po
433,433,"A13,5",B24,"F2,5","PH 1,5 DH 1,5 LG 12",po
434,434,A6,B18,"F2,5","PH 1,5- DH 1,5, LG 8''",po
435,435,A6,B22,"F2,5","PH 1,5- DH 1,5, LG 9''",po
436,436,A8,B10,"F2,5","PH 1,5 DH 1,5 LG 8",po
437,437,A8,B12,"F2,5","PH 1,5 DH 1,5 LG 9",po
438,438,A8,B14,"F2,5","PH 1,5 DH 1,5 LG 10",po
439,439,A8,B14,"F2,5","PH 1,5 DH 1,5 LG 10",po
440,440,A8,B14,"F2,5","PH 1,5 DH 1,5 LG 12",po
441,441,A8,B14,"F2,5","PH 1,5 DH 1,5 LG 9",po
442,442,A8,B14,"F2,5","PH 1,5 DH 2, LG 12",po
443,443,A8,B16,"F2,5","PH 1,5 DH 1,5 LG 10",po
444,444,A8,B16,"F2,5","PH 1,5 DH 1,5 LG 12",po
445,445,A8,B16,"F2,5","PH 1,5 DH 1,5 LG 9",po
446,446,A8,B18,"F2,5","PH 1,5 DH 1,5 LG 10",po
447,447,A8,B18,"F2,5","PH 1,5 DH 1,5 LG 12",po
448,448,A8,B20,"F2,5","PH 1,5 DH 1,5 LG 8",po
449,449,A8,B20,"F2,5","PH 1,5 DH 2, LG 14",po
450,450,A8,B21,"F2,5","PH 1,5 DH 1,5 LG 10",po
451,451,A8,B22,"F2,5","PH 1,5 - DH 2 - LG 14",po
452,452,A8,B22,"F2,5","PH 1,5 DH 1,5 LG 10",po
453,453,A8,B22,"F2,5","PH 1,5 DH 1,5 LG 12",po
454,454,A8,B22,"F2,5","PH 1,5 DH 1,5 LG 8",po
455,455,A8,B22,"F2,5","PH 1,5- DH 1,5, LG 9''",po
456,456,A8,B22,"F2,5","PH 1,5 DH 2, LG 12",po
457,457,A8,B24,"F2,5","PH 1,5 DH 2 LG 10",po
458,458,A8,B26,"F2,5","PH 1,5 DH 1,5 LG 10",po
459,459,A9,B14,"F2,5","PH 1,5 DH 1,5 LG 10",po
460,460,A9,B19,"F2,6","PH 1,5 DH 1,5 LG 8",po
461,461,A6,B8,"F2,5","PH 1,5 DH 1,5 LG 7",po
462,462,A10,B28,F3,"PH 1,5 DH 1,5 LG 9",po
463,463,A6,B12,"F2,5","PH 1,5 DH 1,5 LG 8",po
464,464,A8,B16,"F2,5","PH 1,5 DH 1,5 LG 8",po
465,465,A8,B18,"F2,5","PH 1,5 DH 1,5 LG 9",po
466,466,A8,B22,"F2,5","PH 1,5 DH 1,5 LG 10",po
467,467,A8,B22,"F2,5","PH 1,5 DH 1,5 LG 9",po
468,468,A8,B24,"F2,5","PH 1,5 DH 1,5 LG 9",po
469,469,,,,,po
470,470,A4,B6,C3-1/2,"PH 1,25 DH 1,25 LG 8",po
471,471,,,,,po
472,472,,,,,po
473,473,,,,,po
474,474,,,,,po
475,475,,,,,mm
476,476,,,,,po
477,477,,,,,po
478,478,,,,,po
479,479,,,,,po
480,480,,,,,po
481,481,,,,,po
482,482,,,,,po
483,483,,,,,po
484,484,,,,,po
485,485,,,,,po
486,486,,,,,po
487,487,,,,,po
488,488,,,,,po
489,489,,,,,mm
490,490,,,,,po
491,491,,,,,po
492,492,,,,,po
493,493,,,,,mm
494,494,,,,,mm
495,495,,,,,po
496,496,,,,,po
497,497,,,,,mm
498,498,,,,,po
499,499,,,,,po
500,500,,,,,mm
501,501,,,,,po
502,502,,,,,po
503,503,,,,,po
504,504,,,,,mm
505,505,,,,,mm
506,506,,,,,po
507,507,,,,,po
508,508,,,,,po
509,509,,,,,po
510,510,,,,,po
511,511,,,,,po
512,512,,,,,po
513,513,,,,,po
514,514,,,,,po
515,515,,,,,po
516,516,,,,,po
517,517,,,,,mm
518,518,,,,,po
519,519,,,,,po
520,520,TEXT BLANC,,,,po
521,521,TEXT NOIR,,,,po
522,522,TEXT BLANC,,,,po
523,523,TEXT NOIR,,,,po
524,524,TEXT BLANC,,,,po
525,525,TEXT NOIR,,,,po
526,526,TEXT BLANC,,,,po
527,527,TEXT NOIR,,,,po
528,528,,,,,po
529,529,,,,,po
530,530,,,,,po
531,531,,,,,po
532,532,,,,,po
533,533,,,,,po
534,534,,,,,po
535,535,,,,,po
536,536,,,,,po
537,537,,,,,po
538,538,,,,,po
539,539,,,,,po
540,540,,,,,po
541,541,,,,,po
542,542,,,,,po
543,543,,,,,po
544,544,,,,,po
545,545,,,,,po
546,546,,,,,po
547,547,,,,,po
548,548,,,,,po
549,549,,,,,po
550,550,,,,,po
551,551,,,,,po
552,552,,,,,po
553,553,,,,,po
554,554,,,,,po
555,555,,,,,po
556,556,,,,,po
557,557,,,,,po
558,558,17058-1000-001_Rev1,,,,po
